Question,Label
Where is my order?,Order Status
Has my order been shipped?,Order Status
Can you tell me the current status of my order?,Order Status
Is my order in transit?,Order Status
Has my order been dispatched yet?,Order Status
How can I track my order?,Order Status
What is the shipping status of my order?,Order Status
Is my package on the way?,Order Status
Can I get an update on my order status?,Order Status
Did my order leave the warehouse?,Order Status
Is my order still processing?,Order Status
Is my order out for delivery?,Order Status
Has my order been prepared for shipment?,Order Status
Can I see what stage my order is at?,Order Status
Is my order waiting for shipment?,Order Status
Has my order been picked up by the carrier?,Order Status
Can you confirm if my order is in the shipping process?,Order Status
Has my order been packaged?,Order Status
Is my order still being processed or has it shipped?,Order Status
Can I check if my order has been shipped?,Order Status
When will my order arrive?,Delivery Time
How long will it take for my order to be delivered?,Delivery Time
What is the estimated delivery time for my order?,Delivery Time
Can you tell me when I should expect my package?,Delivery Time
Why is my order taking so long to arrive?,Delivery Time
When should I expect delivery?,Delivery Time
Can you give me a delivery date for my order?,Delivery Time
What’s the delivery time frame for my order?,Delivery Time
Is there any delay in the delivery of my order?,Delivery Time
Will my order arrive on time?,Delivery Time
How many days will it take for my order to get here?,Delivery Time
Why hasn’t my order arrived yet?,Delivery Time
What date will my order be delivered?,Delivery Time
Can you give me a delivery estimate?,Delivery Time
When is my package coming?,Delivery Time
Why is my order late?,Delivery Time
I need to know the expected delivery date for my order.,Delivery Time
How soon will my package be delivered?,Delivery Time
How can I find out when my order will be delivered?,Delivery Time
Are there any delivery delays for my order?,Delivery Time
My order was delivered to the wrong address. What should I do?,Shipping Issues
My package is missing. Can you help?,Shipping Issues
Why was my order canceled?,Shipping Issues
I received a damaged package. What now?,Shipping Issues
"My tracking shows that my package was delivered, but I didn’t receive it.",Shipping Issues
Why does my package say it’s been returned to sender?,Shipping Issues
My order never arrived. What can I do?,Shipping Issues
The shipping address on my order is incorrect. Can I fix it?,Shipping Issues
I need to report a missing package.,Shipping Issues
There was a problem with my delivery. Can you resolve it?,Shipping Issues
My package was damaged during delivery. What should I do next?,Shipping Issues
Why was my order delayed?,Shipping Issues
I haven’t received my order yet. Can you check what happened?,Shipping Issues
My package has been stuck in transit for days.,Shipping Issues
